event_id,event_name,event_url,event_date,event_time,event_genre,event_subgenre,min_price,max_price,ticket_limit,venue_id,venue_name,venue_city,venue_address,venue_state,venue_latitude,venue_longitude,venue_market,main_attraction
G5dIZbGmrleXt,Houston Texans Training Camp: Day 3,https://www.ticketmaster.com/houston-texans-training-camp-day-3-houston-texas-07-26-2024/event/3A0060CB9EAC2FA9,2024-07-26,08:00:00,Football,NFL,,,,KovZpZAEdFeA,NRG Stadium,Houston,One NRG Park,Texas,29.684885,-95.410875,Houston and More,Houston Texans
G5vzZ9g3teevd,Colorado Rockies vs. Los Angeles Dodgers,https://www.ticketmaster.com/colorado-rockies-vs-los-angeles-dodgers-denver-colorado-09-27-2024/event/1E005F54A9082043,2024-09-27,18:10:00,Baseball,MLB,18.0,310.0,4.0,KovZpZA6t7kA,Coors Field,Denver,2001 Blake St.,Colorado,39.7564355,-104.9942814,Denver and More,Colorado Rockies
1ApZkvPGkeyASCX,Pittsburgh Steelers vs. Baltimore Ravens,https://www.ticketmaster.com/pittsburgh-steelers-vs-baltimore-ravens-pittsburgh-pennsylvania-11-17-2024/event/16006065B91733BE,2024-11-17,13:00:00,Football,NFL,50.0,1568.0,4.0,KovZpZAFa6nA,Acrisure Stadium,Pittsburgh,100 Art Rooney Avenue,Pennsylvania,40.446093,-80.015884,Pittsburgh,Pittsburgh Steelers
vv17bZbkGkD72VjM,Kansas City Chiefs v New Orleans Saints,https://www.ticketmaster.com/kansas-city-chiefs-v-new-orleans-kansas-city-missouri-10-07-2024/event/0600606EC43F4737,2024-10-07,19:15:00,Football,NFL,185.0,998.0,4.0,KovZpZAF7E1A,GEHA Field at Arrowhead Stadium,Kansas City,1 Arrowhead Dr,Missouri,39.04921048,-94.48417065,Kansas City and More,Kansas City Chiefs
1ApZkvPGkeyud8l,Pittsburgh Steelers vs. New York Giants,https://www.ticketmaster.com/pittsburgh-steelers-vs-new-york-giants-pittsburgh-pennsylvania-10-28-2024/event/16006065B934342B,2024-10-28,20:15:00,Football,NFL,50.0,1348.0,4.0,KovZpZAFa6nA,Acrisure Stadium,Pittsburgh,100 Art Rooney Avenue,Pennsylvania,40.446093,-80.015884,Pittsburgh,Pittsburgh Steelers
vvG1fZbu5aiUBY,Training Camp Session 5,https://www.ticketmaster.com/training-camp-session-5-berea-ohio-08-20-2024/event/050060D2C9B36EB0,2024-08-20,13:30:00,Football,NFL,,,,KovZ917AIOU,CrossCountry Mortgage Campus,Berea,76 Lou Groza Blvd,Ohio,41.38199,-81.84976," Youngstown & More""",Cleveland Browns
k7vGFbahjGVzA,New York Giants vs. Philadelphia Eagles,https://www.ticketmaster.com/new-york-giants-vs-philadelphia-eagles-east-rutherford-new-jersey-10-20-2024/event/00006096DC334E05,2024-10-20,13:00:00,Football,NFL,150.0,998.0,4.0,KovZpakS7e,MetLife Stadium,East Rutherford,One MetLife Stadium Drive,New Jersey,40.81359,-74.074493,New York/Tri-State Area,New York Giants
G5vYZbFm7U3Bk,San Francisco 49ers vs. Chicago Bears,https://www.ticketmaster.com/san-francisco-49ers-vs-chicago-bears-santa-clara-california-12-08-2024/event/1C00608B84D92E86,2024-12-08,13:25:00,Football,NFL,180.0,1215.0,4.0,KovZpZAJaFkA,Levi's® Stadium,Santa Clara,4900 Marie P. DeBartolo Way,California,37.40367671,-121.97034311,N. California/N. Nevada,San Francisco 49ers
G5eVZb5h29gzs,2024 Panthers Fan Fest,https://www.ticketmaster.com/2024-panthers-fan-fest-clemson-south-carolina-08-01-2024/event/2D0060B6CF5F5E31,2024-08-01,18:30:00,Football,NFL,4.67,4.67,,KovZpZAJe77A,Clemson Memorial Stadium,Clemson,G St & Champion Ave.,South Carolina,34.67880745,-82.84331468,South Carolina,Carolina Panthers
k7vGFbkBGWsJV,Buffalo Bills vs. Miami Dolphins,https://www.ticketmaster.com/buffalo-bills-vs-miami-dolphins-orchard-park-new-york-11-03-2024/event/0000606E8CF719B4,2024-11-03,13:00:00,Football,NFL,190.34,548.05,50.0,KovZpZAdJ1vA,Highmark Stadium,Orchard Park,1 Bills Drive,New York,42.773743,-78.786955,Upstate New York,Buffalo Bills
1AeFZbFGknkpYMV,Jacksonville Jaguars vs. Kansas City Chiefs,https://www.ticketmaster.com/jacksonville-jaguars-vs-kansas-city-chiefs-jacksonville-florida-08-10-2024/event/2200608A865B0DF4,2024-08-10,19:00:00,Football,NFL,88.0,888.0,4.0,KovZpZAEkJ7A,EverBank Stadium ,Jacksonville,1 EverBank Stadium Drive,Florida,30.323887,-81.637357,Jacksonville and More,Jacksonville Jaguars
G5eVZbkDF24U4,Carolina Panthers vs. Kansas City Chiefs,https://www.ticketmaster.com/carolina-panthers-vs-kansas-city-chiefs-charlotte-north-carolina-11-24-2024/event/2D00606EC83D5D95,2024-11-24,13:00:00,Football,NFL,170.0,1000.0,4.0,KovZpa3hje,Bank of America Stadium,Charlotte,800 South Mint Street,North Carolina,35.225789,-80.852829,Charlotte,Carolina Panthers
1ApZkvPGkey7KCy,Preseason: Pittsburgh Steelers v Houston Texans,https://www.ticketmaster.com/preseason-pittsburgh-steelers-v-houston-texans-pittsburgh-pennsylvania-08-09-2024/event/16006065B91133B9,2024-08-09,19:00:00,Football,NFL,39.0,545.0,4.0,KovZpZAFa6nA,Acrisure Stadium,Pittsburgh,100 Art Rooney Avenue,Pennsylvania,40.446093,-80.015884,Pittsburgh,Pittsburgh Steelers
G5vVZ9whGoVUD,New York Yankees vs. St. Louis Cardinals,https://www.ticketmaster.com/new-york-yankees-vs-st-louis-bronx-new-york-08-30-2024/event/1D005F26CC474DBB,2024-08-30,19:05:00,Baseball,MLB,30.0,390.0,19.0,KovZpZA6t77A,Yankee Stadium,Bronx,1 East 161st Street,New York,40.8285237,-73.9276264,New York/Tri-State Area,New York Yankees
G5dIZbaugSvmF,Houston Texans vs. Buffalo Bills,https://www.ticketmaster.com/houston-texans-vs-buffalo-bills-houston-texas-10-06-2024/event/3A00609375CC1B88,2024-10-06,12:00:00,Football,NFL,210.0,615.0,4.0,KovZpZAEdFeA,NRG Stadium,Houston,One NRG Park,Texas,29.684885,-95.410875,Houston and More,Houston Texans
vvG1zZ9UD1bNAP,Atlanta Braves vs. Los Angeles Dodgers,https://www.ticketmaster.com/atlanta-braves-vs-los-angeles-dodgers-atlanta-georgia-09-14-2024/event/0E005F6ECA623165,2024-09-14,19:20:00,Baseball,MLB,10.0,502.0,19.0,KovZpZAtv11A,Truist Park,Atlanta,755 Battery Avenue,Georgia,33.890304,-84.468127,Atlanta,Atlanta Braves
